"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",


"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Togo","TGO","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Togo","TGO","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","26","",
"Togo","TGO","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","","14.4278602600098","","13.4328355789185","","10.4477615356445","13.4328355789185","13.4615383148193","12.9807691574097","14.9038457870483","17.3076915740967","19.7115383148193","20.3791465759277","20.3791465759277","23.0046939849854","18.7793426513672","23.474178314209","26.1083736419678","27.5862064361572","31.5270938873291","29.0640392303467","26.2135925292969","27.0531406402588","28.019323348999","26.57004737854","27.5362319946289","26.470588684082","",
"Togo","TGO","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","25.9919028340081","36.520650813517","38.3036935704515","40.0298730395817","39.4563047150976","39.743414767299","46.2162162162161","38.8584126414079","35.6216260096603","33.4873031764813","34.5184564369785","35.6536646744259","31.1963027233774","28.1875495488693","30.9624373247218","22.0137627831405","26.9397869533035","29.8786919831224","29.7975708502025","36.0616460532279","29.3405865327614","33.9376770538244","9.89370086307975","11.3718570798412","17.2815027393687","23.7356668678335","23.0194135925915","23.1035543929835","27.8943697060289","29.7892193219609","38.1695283971719","55.017234403677","50.9528212394483","53.5426331195249","43.0449851401761","34.297517026413","45.139529037124","51.2622556013378","51.0642471799902","53.12191218058","50.5778363428365","46.0201785745733","43.5291543129053","39.4747321961502","37.5117006435788","37.2319255166042","37.8775954920437","","","","",
"Togo","TGO","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","37.2064777327936","26.2828535669586","17.5786593707249","14.5257654966394","14.3449546920596","10.8229834857376","9.65250965250988","9.79978452145799","10.5167025205991","14.212250841904","16.6126152388587","23.6741113557723","26.5042320359807","31.635773339877","22.4611200815839","21.2112523495494","8.57335950825498","9.13664394677048","27.9352226720646","44.8423233827625","47.7699898873663","44.3185395026755","77.707936874075","69.8081164534627","62.6324028176363","57.5558237779118","50.533796880288","53.6313278965996","47.2984554060788","48.5609015001077","44.6398881205812","29.9780380243693","31.9786500798519","24.3509135291072","36.4802060091894","34.8164857739391","27.7011927707477","23.9778571673152","16.8177678133539","15.2446013164078","18.4723123666746","27.3919678960114","30.5014176049771","32.0688706759997","32.7281732545702","31.8861309026729","39.20250868392","","","","",
"Togo","TGO","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5.32178246314601E-16","0","0","0","0","0","0","0.00664721249144171","0","2.05956940044482E-13","-2.0853840545465E-13","3.45318532727721E-13","2.27532095712643E-13","-1.06417369499957E-13","0","0","0","0","4.37993278555214E-14","1.39173444374688E-13","-2.44263250686223E-13","9.66357616710537E-14","-7.65804040355025E-14","0.000122551610879567","-1.63407651138446E-13","0.38980956610895","0","0.13558133151681","0","0","0","0.0071546868820256","0.00623980334109559","0","0","0","0","0","0","0","0","0","0","0","-1.16274607750068E-14","0.00540169968329005","0","0","0","0","",
"Togo","TGO","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","0.632911392405063","5.98802395209581","0.72992700729927","0.4149377593361","","","","","","","","","","","","","","","","0.257247123418794","0.0122137797148404","","0.452754055426755","","","","","1.49221790750656","1.78033518065472","7.99415105610885","0.972484309278866","3.91828727243199","0.726005630889635","5.72845483870482","12.9617206909952","8.96347663631222","5.01410281623391","8.66476156304923","5.73112479775283","1.35588514282254","0.869542332449474","1.09793932641508","1.18771719390181","1.78559291456941","0.903483162282969","0.957455575806853","0.0116525731501517","0.0349167505517253","0.707243526759998","1.25955477598886","0.000127926541232179","1.77698351647744","0.0012317863409934","0.542989081489709","","0.0158199805655595","0.0207811009713682","0.00767291493220629","0.0801808057271777","0.0121620297197921","0.0228375193533737","0.00338960580636863","",
"Togo","TGO","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","100","100","87.9746835443038","89.2215568862275","95.985401459854","95.850622406639","93.7125748502994","92.8813559322034","95.7983193277311","95.8888698672014","96.4423237903901","95.2731046054665","95.0647620797354","92.7554431754544","92.5515136969863","93.3272767409873","92.636899211664","94.6717289895986","85.2221990195201","83.8677554272057","67.6589249882594","76.6689488762887","69.0894948637842","65.5074432612423","82.36336966153","88.2556296458239","88.305323316431","83.2060705912174","80.8749647960899","71.5680548558385","63.8470051758284","54.9537701614701","60.3565240515496","52.6885946642173","61.0082466474899","54.4766481427368","49.8113609210769","50.9467013486757","56.1325118910821","43.3796328884832","28.0758355309973","22.776098583959","26.9321000329052","27.9083643552531","19.8374024202177","13.6964134816162","11.3431325827173","9.14013952176889","6.82844915457648","8.55200412311394","36.2206491452564","13.2260941469118","26.4189404286354","18.4895695509138","15.5162597246294","18.3154457456875","14.6978610970637","16.7146315962481","13.6363223954348","9.88741485560369","12.9815935531339","14.1239473193979","23.9842281052882","20.733045027719","",
"Togo","TGO","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","6.60266587285837","6.49877876547676","4.8724860959479","4.85249592084897","3.80351117651334","7.3079883474406","","10.7061982528616","5.65106220784265","17.8275569000761","5.0066776330156","7.02065167155224","3.2616603569648","5.82821902079495","8.21622838938613","5.79663037225238","7.1932339483873","9.35836062001194","10.571185815224","15.3197284247117","","24.8643441606732","","","6.15406965580249","10.4040651315928","7.21426396559602","","","6.37130100796475","","","7.99380646968154","7.29015146161746","5.8126558033185","8.04497821459791","12.1610582501451","17.7079169263315","30.8253729318135","49.6818445977556","43.2187809422004","58.014086109927","47.3384396658155","58.1122362455703","","62.1769054188132","51.6453608521473","60.2977933517657","64.8621312063333","62.7899499305506","53.7168781132544","52.0822741619249","50.283410376271","49.0181653040328","51.2979111796058","49.8786689356463","47.2538717239173","46.0734628512539","50.6554319978701","48.7167722796484","38.2935548293893","35.951006348736","42.2087049543723",
"Togo","TGO","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","75.3683766620361","61.4112721052428","66.5435121670066","57.666209721059","50.3071692409426","49.4133068055547","","58.0697732197968","67.1970893839838","49.531519904546","54.5212942118209","43.7175171763914","19.1987932139988","27.6817247767758","35.768931175333","42.933102770399","39.589123843805","31.3163450867497","20.6688318007057","26.139073540971","","20.6155762911015","","","30.0936083388236","28.8734512546585","24.1241527911787","","","17.7105039735273","","","17.0654882107583","18.5460906830242","17.6711804616744","21.7053691670822","15.4098549071882","21.2600713939043","19.5804511564083","18.230963721138","23.2293137355407","15.4946796817321","23.968420529638","21.4500110855906","","15.7232992940811","15.9976796148713","16.8786022283433","18.109093677885","14.6931768394735","17.0409953975587","20.0711805951857","19.3072337913121","21.3987908733858","22.5043955113224","19.6678707209023","16.2251411354971","17.4892146454249","26.0185374258391","25.3783325546223","27.0563012532639","31.9620441511226","30.7814084368999",
